Distance: 0.37136459546070555, Label: C1
Distance: 0.39211338903795234, Label: C1
Distance: 0.4639749693863449, Label: C1
Distance: 0.4875262845348919, Label: C4
Distance: 0.49965520573741473, Label: C7


Distance: 0.23569586400363784, Label: C1
Distance: 0.4472619541234505, Label: C1
Distance: 0.46820348306458714, Label: C1
Distance: 0.4800351612644368, Label: C1
Distance: 0.581792695869692, Label: C4


Distance: 0.2414331022341337, Label: C1
Distance: 0.4501468286038956, Label: C1
Distance: 0.4906185752052047, Label: C7
Distance: 0.498976184165655, Label: C4
Distance: 0.5196488126918544, Label: C1


Distance: 0.38260514918474264, Label: C1
Distance: 0.4278777375295235, Label: C1
Distance: 0.4333602267786182, Label: C1
Distance: 0.4798990720279365, Label: C1
Distance: 0.4817046522294101, Label: C1


Distance: 0.09556433123754571, Label: C4
Distance: 0.46749521958360984, Label: C4
Distance: 0.48773112984068967, Label: C4
Distance: 0.5380556650852932, Label: C4
Distance: 0.5811814451618281, Label: C4


Distance: 0.3333950343746499, Label: C4
Distance: 0.5044320572538423, Label: C4
Distance: 0.5831174354029371, Label: C4
Distance: 0.628382902635137, Label: C4
Distance: 0.6463249573162563, Label: C4


Distance: 0.31312045474142974, Label: C7
Distance: 0.6191098556798992, Label: C7
Distance: 0.6358750768348325, Label: C7
Distance: 0.6467817502473828, Label: C7
Distance: 0.6543451048065496, Label: C7


Distance: 0.498488691783484, Label: C7
Distance: 0.5383258334401385, Label: C7
Distance: 0.5928530987601256, Label: C7
Distance: 0.6026837709186904, Label: C7
Distance: 0.6120438309406215, Label: C7


Distance: 0.2363874332815749, Label: C4
Distance: 0.24782237214929467, Label: C4
Distance: 0.3533251672374736, Label: C4
Distance: 0.37282502202035095, Label: C4
Distance: 0.39148893600151097, Label: C1


Distance: 0.2634329151111362, Label: C4
Distance: 0.2835255662849135, Label: C1
Distance: 0.30709299751949776, Label: C4
Distance: 0.3940597686726078, Label: C4
Distance: 0.4056795046135267, Label: C1
